,medianhome,nitric,crime,industry,rooms,oldbuild,nearhighway,propertytax,studentteacher,lowerstatus
0,24000.0,0.538,0.00632,2.31,6.575,65.2,1,296.0,15.3,4.98
1,21600.0,0.469,0.02731,7.07,6.421,78.9,2,242.0,17.8,9.14
2,34700.0,0.469,0.02729,7.07,7.185,61.1,2,242.0,17.8,4.03
3,33400.0,0.458,0.032369999999999996,2.18,6.998,45.8,3,222.0,18.7,2.94
4,36200.0,0.458,0.06905,2.18,7.147,54.2,3,222.0,18.7,5.33
5,28700.0,0.458,0.02985,2.18,6.43,58.7,3,222.0,18.7,5.21
6,22900.0,0.524,0.08829,7.87,6.012,66.6,5,311.0,15.2,12.43
7,27100.0,0.524,0.14455,7.87,6.172,96.1,5,311.0,15.2,19.15
8,16500.0,0.524,0.21124,7.87,5.631,100.0,5,311.0,15.2,29.93
9,18900.0,0.524,0.17004,7.87,6.004,85.9,5,311.0,15.2,17.1
10,15000.0,0.524,0.22489,7.87,6.377,94.3,5,311.0,15.2,20.45
11,18900.0,0.524,0.11747,7.87,6.009,82.9,5,311.0,15.2,13.27
12,21700.0,0.524,0.09378,7.87,5.889,39.0,5,311.0,15.2,15.71
13,20400.0,0.538,0.62976,8.14,5.949,61.8,4,307.0,21.0,8.26
14,18200.0,0.538,0.6379600000000001,8.14,6.096,84.5,4,307.0,21.0,10.26
15,19900.0,0.538,0.62739,8.14,5.834,56.5,4,307.0,21.0,8.47
16,23100.0,0.538,1.05393,8.14,5.935,29.3,4,307.0,21.0,6.58
17,17500.0,0.538,0.7842,8.14,5.99,81.7,4,307.0,21.0,14.67
18,20200.0,0.538,0.80271,8.14,5.456,36.6,4,307.0,21.0,11.69
19,18200.0,0.538,0.7258,8.14,5.727,69.5,4,307.0,21.0,11.28
20,13600.0,0.538,1.25179,8.14,5.57,98.1,4,307.0,21.0,21.02
21,19600.0,0.538,0.8520399999999999,8.14,5.965,89.2,4,307.0,21.0,13.83
22,15200.0,0.538,1.2324700000000002,8.14,6.142,91.7,4,307.0,21.0,18.72
23,14500.0,0.538,0.9884299999999999,8.14,5.813,100.0,4,307.0,21.0,19.88
24,15600.0,0.538,0.75026,8.14,5.924,94.1,4,307.0,21.0,16.3
25,13900.0,0.538,0.84054,8.14,5.599,85.7,4,307.0,21.0,16.51
26,16600.0,0.538,0.67191,8.14,5.813,90.3,4,307.0,21.0,14.81
27,14800.0,0.538,0.9557700000000001,8.14,6.047,88.8,4,307.0,21.0,17.28
28,18400.0,0.538,0.77299,8.14,6.495,94.4,4,307.0,21.0,12.8
29,21000.0,0.538,1.00245,8.14,6.674,87.3,4,307.0,21.0,11.98
30,12700.0,0.538,1.13081,8.14,5.713,94.1,4,307.0,21.0,22.6
31,14500.0,0.538,1.3547200000000001,8.14,6.072,100.0,4,307.0,21.0,13.04
32,13200.0,0.538,1.38799,8.14,5.95,82.0,4,307.0,21.0,27.71
33,13100.0,0.538,1.15172,8.14,5.701,95.0,4,307.0,21.0,18.35
34,13500.0,0.538,1.6128200000000001,8.14,6.096,96.9,4,307.0,21.0,20.34
35,18900.0,0.499,0.06417,5.96,5.933,68.2,5,279.0,19.2,9.68
36,20000.0,0.499,0.09744,5.96,5.841,61.4,5,279.0,19.2,11.41
37,21000.0,0.499,0.08014,5.96,5.85,41.5,5,279.0,19.2,8.77
38,24700.0,0.499,0.17505,5.96,5.966,30.2,5,279.0,19.2,10.13
39,30800.0,0.428,0.027630000000000002,2.95,6.595,21.8,3,252.0,18.3,4.32
40,34900.0,0.428,0.033589999999999995,2.95,7.024,15.8,3,252.0,18.3,1.98
41,26600.0,0.448,0.12744,6.91,6.77,2.9,3,233.0,17.9,4.84
42,25300.0,0.448,0.1415,6.91,6.169,6.6,3,233.0,17.9,5.81
43,24700.0,0.448,0.15936,6.91,6.211,6.5,3,233.0,17.9,7.44
44,21200.0,0.448,0.12269000000000001,6.91,6.069,40.0,3,233.0,17.9,9.55
45,19300.0,0.448,0.17142000000000002,6.91,5.682,33.8,3,233.0,17.9,10.21
46,20000.0,0.448,0.18836,6.91,5.786,33.3,3,233.0,17.9,14.15
47,16600.0,0.448,0.22926999999999997,6.91,6.03,85.5,3,233.0,17.9,18.8
48,14400.0,0.448,0.25387,6.91,5.399,95.3,3,233.0,17.9,30.81
49,19400.0,0.448,0.21977,6.91,5.602,62.0,3,233.0,17.9,16.2
50,19700.0,0.439,0.08872999999999999,5.64,5.963,45.7,4,243.0,16.8,13.45
51,20500.0,0.439,0.04337,5.64,6.115,63.0,4,243.0,16.8,9.43
52,25000.0,0.439,0.0536,5.64,6.511,21.1,4,243.0,16.8,5.28
53,23400.0,0.439,0.04981,5.64,5.998,21.4,4,243.0,16.8,8.43
54,18900.0,0.41,0.0136,4.0,5.888,47.6,3,469.0,21.1,14.8
55,35400.0,0.403,0.01311,1.22,7.249,21.9,5,226.0,17.9,4.81
56,24700.0,0.41,0.02055,0.74,6.383,35.7,2,313.0,17.3,5.77
57,31600.0,0.411,0.01432,1.32,6.816,40.5,5,256.0,15.1,3.95
58,23300.0,0.453,0.15445,5.13,6.145,29.2,8,284.0,19.7,6.86
59,19600.0,0.453,0.10328,5.13,5.927,47.2,8,284.0,19.7,9.22
60,18700.0,0.453,0.14932,5.13,5.741,66.2,8,284.0,19.7,13.15
61,16000.0,0.453,0.17171,5.13,5.966,93.4,8,284.0,19.7,14.44
62,22200.0,0.453,0.11027,5.13,6.456,67.8,8,284.0,19.7,6.73
63,25000.0,0.453,0.1265,5.13,6.762,43.4,8,284.0,19.7,9.5
64,33000.0,0.4161,0.01951,1.38,7.104,59.5,3,216.0,18.6,8.05
65,23500.0,0.398,0.03584,3.37,6.29,17.8,4,337.0,16.1,4.67
66,19400.0,0.398,0.043789999999999996,3.37,5.787,31.1,4,337.0,16.1,10.24
67,22000.0,0.409,0.05789,6.07,5.878,21.4,4,345.0,18.9,8.1
68,17400.0,0.409,0.13554000000000002,6.07,5.594,36.8,4,345.0,18.9,13.09
69,20900.0,0.409,0.12816,6.07,5.885,33.0,4,345.0,18.9,8.79
70,24200.0,0.413,0.08826,10.81,6.417,6.6,4,305.0,19.2,6.72
71,21700.0,0.413,0.15875999999999998,10.81,5.961,17.5,4,305.0,19.2,9.88
72,22800.0,0.413,0.09164,10.81,6.065,7.8,4,305.0,19.2,5.52
73,23400.0,0.413,0.19539,10.81,6.245,6.2,4,305.0,19.2,7.54
74,24100.0,0.437,0.07896,12.83,6.273,6.0,5,398.0,18.7,6.78
75,21400.0,0.437,0.09512000000000001,12.83,6.286,45.0,5,398.0,18.7,8.94
76,20000.0,0.437,0.10153,12.83,6.279,74.5,5,398.0,18.7,11.97
77,20800.0,0.437,0.08707000000000001,12.83,6.14,45.8,5,398.0,18.7,10.27
78,21200.0,0.437,0.05646,12.83,6.232,53.7,5,398.0,18.7,12.34
79,20300.0,0.437,0.08387,12.83,5.874,36.6,5,398.0,18.7,9.1
80,28000.0,0.426,0.04113,4.86,6.727,33.5,4,281.0,19.0,5.29
81,23900.0,0.426,0.04462,4.86,6.619,70.4,4,281.0,19.0,7.22
82,24800.0,0.426,0.03659,4.86,6.302,32.2,4,281.0,19.0,6.72
83,22900.0,0.426,0.03551,4.86,6.167,46.7,4,281.0,19.0,7.51
84,23900.0,0.449,0.050589999999999996,4.49,6.389,48.0,3,247.0,18.5,9.62
85,26600.0,0.449,0.05735,4.49,6.63,56.1,3,247.0,18.5,6.53
86,22500.0,0.449,0.051879999999999996,4.49,6.015,45.1,3,247.0,18.5,12.86
87,22200.0,0.449,0.07151,4.49,6.121,56.8,3,247.0,18.5,8.44
88,23600.0,0.489,0.0566,3.41,7.007,86.3,2,270.0,17.8,5.5
89,28700.0,0.489,0.053020000000000005,3.41,7.079,63.1,2,270.0,17.8,5.7
90,22600.0,0.489,0.04684,3.41,6.417,66.1,2,270.0,17.8,8.81
91,22000.0,0.489,0.03932,3.41,6.405,73.9,2,270.0,17.8,8.2
92,22900.0,0.464,0.04203,15.04,6.442,53.6,4,270.0,18.2,8.16
93,25000.0,0.464,0.02875,15.04,6.211,28.9,4,270.0,18.2,6.21
94,20600.0,0.464,0.04294,15.04,6.249,77.3,4,270.0,18.2,10.59
95,28400.0,0.445,0.12204000000000001,2.89,6.625,57.8,2,276.0,18.0,6.65
96,21400.0,0.445,0.11504,2.89,6.163,69.6,2,276.0,18.0,11.34
97,38700.0,0.445,0.12082999999999999,2.89,8.069,76.0,2,276.0,18.0,4.21
98,43800.0,0.445,0.08187,2.89,7.82,36.9,2,276.0,18.0,3.57
99,33200.0,0.445,0.0686,2.89,7.416,62.5,2,276.0,18.0,6.19
100,27500.0,0.52,0.14866,8.56,6.727,79.9,5,384.0,20.9,9.42
101,26500.0,0.52,0.11432,8.56,6.781,71.3,5,384.0,20.9,7.67
102,18600.0,0.52,0.22876,8.56,6.405,85.4,5,384.0,20.9,10.63
103,19300.0,0.52,0.21161,8.56,6.137,87.4,5,384.0,20.9,13.44
104,20100.0,0.52,0.1396,8.56,6.167,90.0,5,384.0,20.9,12.33
105,19500.0,0.52,0.13262000000000002,8.56,5.851,96.7,5,384.0,20.9,16.47
106,19500.0,0.52,0.1712,8.56,5.836,91.9,5,384.0,20.9,18.66
107,20400.0,0.52,0.13117,8.56,6.127,85.2,5,384.0,20.9,14.09
108,19800.0,0.52,0.12802,8.56,6.474,97.1,5,384.0,20.9,12.27
109,19400.0,0.52,0.26363000000000003,8.56,6.229,91.2,5,384.0,20.9,15.55
110,21700.0,0.52,0.10793,8.56,6.195,54.4,5,384.0,20.9,13.0
111,22800.0,0.547,0.10084,10.01,6.715,81.6,6,432.0,17.8,10.16
112,18800.0,0.547,0.12329000000000001,10.01,5.913,92.9,6,432.0,17.8,16.21
113,18700.0,0.547,0.22211999999999998,10.01,6.092,95.4,6,432.0,17.8,17.09
114,18500.0,0.547,0.14231,10.01,6.254,84.2,6,432.0,17.8,10.45
115,18300.0,0.547,0.17134000000000002,10.01,5.928,88.2,6,432.0,17.8,15.76
116,21200.0,0.547,0.13158,10.01,6.176,72.5,6,432.0,17.8,12.04
117,19200.0,0.547,0.15098,10.01,6.021,82.6,6,432.0,17.8,10.3
118,20400.0,0.547,0.13058,10.01,5.872,73.1,6,432.0,17.8,15.37
119,19300.0,0.547,0.14476,10.01,5.731,65.2,6,432.0,17.8,13.61
120,22000.0,0.581,0.06899,25.65,5.87,69.7,2,188.0,19.1,14.37
121,20300.0,0.581,0.07165,25.65,6.004,84.1,2,188.0,19.1,14.27
122,20500.0,0.581,0.09299,25.65,5.961,92.9,2,188.0,19.1,17.93
123,17300.0,0.581,0.15037999999999999,25.65,5.856,97.0,2,188.0,19.1,25.41
124,18800.0,0.581,0.09849,25.65,5.879,95.8,2,188.0,19.1,17.58
125,21400.0,0.581,0.16902,25.65,5.986,88.4,2,188.0,19.1,14.81
126,15700.0,0.581,0.38735,25.65,5.613,95.6,2,188.0,19.1,27.26
127,16200.0,0.624,0.25915,21.89,5.693,96.0,4,437.0,21.2,17.19
128,18000.0,0.624,0.32543,21.89,6.431,98.8,4,437.0,21.2,15.39
129,14300.0,0.624,0.88125,21.89,5.637,94.7,4,437.0,21.2,18.34
130,19200.0,0.624,0.34006,21.89,6.458,98.9,4,437.0,21.2,12.6
131,19600.0,0.624,1.19294,21.89,6.326,97.7,4,437.0,21.2,12.26
132,23000.0,0.624,0.59005,21.89,6.372,97.9,4,437.0,21.2,11.12
133,18400.0,0.624,0.32982,21.89,5.822,95.4,4,437.0,21.2,15.03
134,15600.0,0.624,0.9761700000000001,21.89,5.757,98.4,4,437.0,21.2,17.31
135,18100.0,0.624,0.55778,21.89,6.335,98.2,4,437.0,21.2,16.96
136,17400.0,0.624,0.32264,21.89,5.942,93.5,4,437.0,21.2,16.9
137,17100.0,0.624,0.35233000000000003,21.89,6.454,98.4,4,437.0,21.2,14.59
138,13300.0,0.624,0.2498,21.89,5.857,98.2,4,437.0,21.2,21.32
139,17800.0,0.624,0.54452,21.89,6.151,97.9,4,437.0,21.2,18.46
140,14000.0,0.624,0.2909,21.89,6.174,93.6,4,437.0,21.2,24.16
141,14400.0,0.624,1.6286399999999999,21.89,5.019,100.0,4,437.0,21.2,34.41
142,13400.0,0.871,3.32105,19.58,5.403,100.0,5,403.0,14.7,26.82
143,15600.0,0.871,4.0974,19.58,5.468,100.0,5,403.0,14.7,26.42
144,11800.0,0.871,2.7797400000000003,19.58,4.903,97.8,5,403.0,14.7,29.29
145,13800.0,0.871,2.37934,19.58,6.13,100.0,5,403.0,14.7,27.8
146,15600.0,0.871,2.15505,19.58,5.628,100.0,5,403.0,14.7,16.65
147,14600.0,0.871,2.36862,19.58,4.926,95.7,5,403.0,14.7,29.53
148,17800.0,0.871,2.3309900000000003,19.58,5.186,93.8,5,403.0,14.7,28.32
149,15400.0,0.871,2.7339700000000002,19.58,5.597,94.9,5,403.0,14.7,21.45
150,21500.0,0.871,1.6566,19.58,6.122,97.3,5,403.0,14.7,14.1
151,19600.0,0.871,1.49632,19.58,5.404,100.0,5,403.0,14.7,13.28
152,15300.0,0.871,1.12658,19.58,5.012,88.0,5,403.0,14.7,12.12
153,19400.0,0.871,2.14918,19.58,5.709,98.5,5,403.0,14.7,15.79
154,17000.0,0.871,1.41385,19.58,6.129,96.0,5,403.0,14.7,15.12
155,15600.0,0.871,3.5350099999999998,19.58,6.152,82.6,5,403.0,14.7,15.02
156,13100.0,0.871,2.4466799999999997,19.58,5.272,94.0,5,403.0,14.7,16.14
157,41300.0,0.605,1.22358,19.58,6.943,97.4,5,403.0,14.7,4.59
158,24300.0,0.605,1.34284,19.58,6.066,100.0,5,403.0,14.7,6.43
159,23300.0,0.871,1.4250200000000002,19.58,6.51,100.0,5,403.0,14.7,7.39
160,27000.0,0.605,1.27346,19.58,6.25,92.6,5,403.0,14.7,5.5
161,50000.0,0.605,1.46336,19.58,7.489,90.8,5,403.0,14.7,1.73
162,50000.0,0.605,1.8337700000000001,19.58,7.802,98.2,5,403.0,14.7,1.92
163,50000.0,0.605,1.51902,19.58,8.375,93.9,5,403.0,14.7,3.32
164,22700.0,0.605,2.2423599999999997,19.58,5.854,91.8,5,403.0,14.7,11.64
165,25000.0,0.605,2.924,19.58,6.101,93.0,5,403.0,14.7,9.81
166,50000.0,0.605,2.01019,19.58,7.929,96.2,5,403.0,14.7,3.7
167,23800.0,0.605,1.8002799999999999,19.58,5.877,79.2,5,403.0,14.7,12.14
168,23800.0,0.605,2.3004,19.58,6.319,96.1,5,403.0,14.7,11.1
169,22300.0,0.605,2.4495299999999998,19.58,6.402,95.2,5,403.0,14.7,11.32
170,17400.0,0.605,1.2074200000000002,19.58,5.875,94.6,5,403.0,14.7,14.43
171,19100.0,0.605,2.3139,19.58,5.88,97.3,5,403.0,14.7,12.03
172,23100.0,0.51,0.13914,4.05,5.572,88.5,5,296.0,16.6,14.69
173,23600.0,0.51,0.09178,4.05,6.416,84.1,5,296.0,16.6,9.04
174,22600.0,0.51,0.08447,4.05,5.859,68.7,5,296.0,16.6,9.64
175,29400.0,0.51,0.06663999999999999,4.05,6.546,33.1,5,296.0,16.6,5.33
176,23200.0,0.51,0.07022,4.05,6.02,47.2,5,296.0,16.6,10.11
177,24600.0,0.51,0.05425,4.05,6.315,73.4,5,296.0,16.6,6.29
178,29900.0,0.51,0.06642,4.05,6.86,74.4,5,296.0,16.6,6.92
179,37200.0,0.488,0.0578,2.46,6.98,58.4,3,193.0,17.8,5.04
180,39800.0,0.488,0.06588,2.46,7.765,83.3,3,193.0,17.8,7.56
181,36200.0,0.488,0.06888,2.46,6.144,62.2,3,193.0,17.8,9.45
182,37900.0,0.488,0.09103,2.46,7.155,92.2,3,193.0,17.8,4.82
183,32500.0,0.488,0.10008,2.46,6.563,95.6,3,193.0,17.8,5.68
184,26400.0,0.488,0.08308,2.46,5.604,89.8,3,193.0,17.8,13.98
185,29600.0,0.488,0.06047,2.46,6.153,68.8,3,193.0,17.8,13.15
186,50000.0,0.488,0.05602000000000001,2.46,7.831,53.6,3,193.0,17.8,4.45
187,32000.0,0.437,0.07875,3.44,6.782,41.1,5,398.0,15.2,6.68
188,29800.0,0.437,0.12579,3.44,6.556,29.1,5,398.0,15.2,4.56
189,34900.0,0.437,0.0837,3.44,7.185,38.9,5,398.0,15.2,5.39
190,37000.0,0.437,0.09068,3.44,6.951,21.5,5,398.0,15.2,5.1
191,30500.0,0.437,0.06911,3.44,6.739,30.8,5,398.0,15.2,4.69
192,36400.0,0.437,0.08664,3.44,7.178,26.3,5,398.0,15.2,2.87
193,31100.0,0.401,0.02187,2.93,6.8,9.9,1,265.0,15.6,5.03
194,29100.0,0.401,0.01439,2.93,6.604,18.8,1,265.0,15.6,4.38
195,50000.0,0.422,0.01381,0.46,7.875,32.0,4,255.0,14.4,2.97
196,33300.0,0.404,0.04011,1.52,7.287,34.1,2,329.0,12.6,4.08
197,30300.0,0.404,0.04666,1.52,7.107,36.6,2,329.0,12.6,8.61
198,34600.0,0.404,0.03768,1.52,7.274,38.3,2,329.0,12.6,6.62
199,34900.0,0.403,0.0315,1.47,6.975,15.3,3,402.0,17.0,4.56
200,32900.0,0.403,0.01778,1.47,7.135,13.9,3,402.0,17.0,4.45
201,24100.0,0.415,0.03445,2.03,6.162,38.4,2,348.0,14.7,7.43
202,42300.0,0.415,0.021769999999999998,2.03,7.61,15.7,2,348.0,14.7,3.11
203,48500.0,0.4161,0.0351,2.68,7.853,33.2,4,224.0,14.7,3.81
204,50000.0,0.4161,0.02009,2.68,8.034,31.9,4,224.0,14.7,2.88
205,22600.0,0.489,0.13642,10.59,5.891,22.3,4,277.0,18.6,10.87
206,24400.0,0.489,0.22969,10.59,6.326,52.5,4,277.0,18.6,10.97
207,22500.0,0.489,0.25199,10.59,5.783,72.7,4,277.0,18.6,18.06
208,24400.0,0.489,0.13587,10.59,6.064,59.1,4,277.0,18.6,14.66
209,20000.0,0.489,0.43571000000000004,10.59,5.344,100.0,4,277.0,18.6,23.09
210,21700.0,0.489,0.17446,10.59,5.96,92.1,4,277.0,18.6,17.27
211,19300.0,0.489,0.37578,10.59,5.404,88.6,4,277.0,18.6,23.98
212,22400.0,0.489,0.21719000000000002,10.59,5.807,53.8,4,277.0,18.6,16.03
213,28100.0,0.489,0.14052,10.59,6.375,32.3,4,277.0,18.6,9.38
214,23700.0,0.489,0.28955,10.59,5.412,9.8,4,277.0,18.6,29.55
215,25000.0,0.489,0.19802,10.59,6.182,42.4,4,277.0,18.6,9.47
216,23300.0,0.55,0.0456,13.89,5.888,56.0,5,276.0,16.4,13.51
217,28700.0,0.55,0.07013,13.89,6.642,85.1,5,276.0,16.4,9.69
218,21500.0,0.55,0.11069000000000001,13.89,5.951,93.8,5,276.0,16.4,17.92
219,23000.0,0.55,0.11425,13.89,6.373,92.4,5,276.0,16.4,10.5
220,26700.0,0.507,0.35809,6.2,6.951,88.5,8,307.0,17.4,9.71
221,21700.0,0.507,0.40771,6.2,6.164,91.3,8,307.0,17.4,21.46
222,27500.0,0.507,0.62356,6.2,6.879,77.7,8,307.0,17.4,9.93
223,30100.0,0.507,0.6147,6.2,6.618,80.8,8,307.0,17.4,7.6
224,44800.0,0.504,0.31533,6.2,8.266,78.3,8,307.0,17.4,4.14
225,50000.0,0.504,0.52693,6.2,8.725,83.0,8,307.0,17.4,4.63
226,37600.0,0.504,0.38214000000000004,6.2,8.04,86.5,8,307.0,17.4,3.13
227,31600.0,0.504,0.41238,6.2,7.163,79.9,8,307.0,17.4,6.36
228,46700.0,0.504,0.29819,6.2,7.686,17.0,8,307.0,17.4,3.92
229,31500.0,0.504,0.44178,6.2,6.552,21.4,8,307.0,17.4,3.76
